step,energy,ewmean,ewvar,pmove
100,-1.0870868,-1.0870868,-0.0,0.96418756
200,-1.1593246,-1.1526067,0.00011378043,0.96343756
300,-1.185673,-1.1730231,0.00013533156,0.9652501
400,-1.1912143,-1.1829948,6.924309e-05,0.9661251
500,-1.1655681,-1.1776224,0.00027532934,0.96106255
600,-1.190589,-1.1802137,5.17106e-05,0.95900005
700,-1.1731584,-1.1715575,2.8533186e-05,0.95431256
800,-1.1849154,-1.1740983,6.445106e-05,0.9496251
900,-1.1761096,-1.1713597,4.8397964e-05,0.94650006
1000,-1.169055,-1.1710011,6.496248e-05,0.94106257
1100,-1.1707377,-1.171889,3.5857036e-05,0.93568754
1200,-1.1787889,-1.1785803,0.00057636853,0.92831254
1300,-1.1777388,-1.1743053,5.3694792e-05,0.9220625
1400,-1.1823328,-1.1699408,8.745661e-05,0.9113125
1500,-1.1735806,-1.1700813,3.4923305e-05,0.9096875
1600,-1.1630809,-1.171584,0.000120136385,0.89668757
1700,-1.1805961,-1.1721169,8.000541e-05,0.89337504
1800,-1.1795021,-1.1723323,3.55351e-05,0.88356256
1900,-1.1914897,-1.1735343,8.53144e-05,0.86325
2000,-1.1711386,-1.1709111,4.130503e-05,0.8546875
2100,-1.1861755,-1.1745483,6.992046e-05,0.83131254
2200,-1.1941736,-1.1771642,7.050379e-05,0.82312506
2300,-1.1665139,-1.1718746,0.00030463154,0.80550003
2400,-1.1837112,-1.1741781,6.8399386e-05,0.7911875
2500,-1.1870883,-1.1756016,0.00010007534,0.76887506
2600,-1.17462,-1.17098,6.7145156e-05,0.744
2700,-1.171487,-1.1752692,7.190837e-05,0.7230625
2800,-1.1834215,-1.1807383,0.00051257445,0.6991875
2900,-1.1637592,-1.172535,4.5796092e-05,0.67006254
3000,-1.1812918,-1.1761968,7.565674e-05,0.63693756
3100,-1.1676267,-1.1707284,5.2923355e-05,0.61300004
3200,-1.1764066,-1.1728781,3.0477911e-05,0.5734375
3300,-1.1607794,-1.1714071,0.000131046,0.54325
3400,-1.1776799,-1.171962,6.080781e-05,0.5396875
3500,-1.1703411,-1.1696136,3.2426502e-05,0.54593754
3600,-1.1777874,-1.1744379,9.706965e-05,0.5395625
3700,-1.1681871,-1.1724561,0.00053301745,0.54168755
3800,-1.1650032,-1.1767374,0.0001936383,0.5464375
3900,-1.1807319,-1.1720194,3.61855e-05,0.53800005
4000,-1.1722518,-1.1747742,3.860299e-05,0.54593754
4100,-1.1782614,-1.1727753,6.0063277e-05,0.544
4200,-1.1750822,-1.1720183,4.612783e-05,0.5411875
4300,-1.1796575,-1.1760465,4.5535086e-05,0.5395625
4400,-1.1716914,-1.1750275,4.7106827e-05,0.5413125
4500,-1.1765933,-1.1737626,6.464392e-05,0.5390625
4600,-1.1722049,-1.1713278,3.6670277e-05,0.54300004
4700,-1.1760176,-1.1719726,3.64675e-05,0.539375
4800,-1.1774437,-1.1741694,4.191974e-05,0.545875
4900,-1.1681907,-1.1732874,5.4551318e-05,0.53637505
5000,-1.1709267,-1.1752653,4.1293144e-05,0.532625
5100,-1.1746871,-1.1718061,2.5809342e-05,0.5435
5200,-1.1680098,-1.1715411,2.2598662e-05,0.5404375
5300,-1.1707679,-1.1717339,3.753335e-05,0.54181254
5400,-1.1779965,-1.1736258,4.7221893e-05,0.5406875
5500,-1.1701444,-1.1741776,5.1567975e-05,0.5428125
5600,-1.1659263,-1.1724496,7.823897e-05,0.5461875
5700,-1.1854837,-1.1759987,6.806055e-05,0.5485625
5800,-1.1734331,-1.170041,2.4046438e-05,0.54712504
5900,-1.1786535,-1.1720786,6.790417e-05,0.54018754
6000,-1.1669028,-1.1746452,3.112705e-05,0.54425
6100,-1.1690763,-1.1727098,3.332362e-05,0.5453125
6200,-1.1656436,-1.1723962,0.00010106661,0.5469375
6300,-1.1725157,-1.1727804,2.9209426e-05,0.53812504
6400,-1.1604038,-1.1714275,4.4450906e-05,0.54475003
6500,-1.1749523,-1.1741074,3.3792665e-05,0.54462504
6600,-1.1744677,-1.172366,3.551631e-05,0.54581255
6700,-1.1690363,-1.1723734,4.3539505e-05,0.54375005
6800,-1.1713219,-1.1746315,0.00017981515,0.5428125
6900,-1.1709869,-1.1729771,2.8416023e-05,0.5345
7000,-1.1846693,-1.1759748,0.00011647532,0.54175
7100,-1.1635734,-1.1744347,4.2644355e-05,0.545125
7200,-1.1718748,-1.1744002,4.067932e-05,0.5435
7300,-1.1714041,-1.1740953,6.6013556e-05,0.5425
7400,-1.1703105,-1.1748614,3.6106703e-05,0.54475003
7500,-1.1797585,-1.1740756,2.8185792e-05,0.540875
7600,-1.168911,-1.173062,2.6911439e-05,0.5469375
7700,-1.2024113,-1.1745278,0.00010900066,0.546875
7800,-1.1674527,-1.1700739,3.3317934e-05,0.53987503
7900,-1.1748475,-1.1743292,2.3692679e-05,0.54875004
8000,-1.1642404,-1.1717782,2.1194734e-05,0.54106253
8100,-1.1689253,-1.1746463,8.4168656e-05,0.54062504
8200,-1.1728448,-1.1697332,1.891701e-05,0.55093753
8300,-1.173834,-1.173444,2.394992e-05,0.54356253
8400,-1.1753044,-1.173249,3.0021298e-05,0.54525
8500,-1.1739165,-1.174669,7.1349e-05,0.54168755
8600,-1.1877664,-1.1742916,6.132242e-05,0.5390625
8700,-1.1754843,-1.1731864,2.0505931e-05,0.5425
8800,-1.1716996,-1.1743283,6.6944434e-05,0.541875
8900,-1.1704121,-1.1739485,4.505522e-05,0.54775006
9000,-1.1732085,-1.1739472,2.8374396e-05,0.544125
9100,-1.1776153,-1.1738335,8.452047e-05,0.54287505
9200,-1.1718699,-1.1735381,1.5024723e-05,0.54181254
9300,-1.1804568,-1.1755711,2.4831583e-05,0.5488125
9400,-1.1691481,-1.1734455,5.086203e-05,0.54193753
9500,-1.1688428,-1.174363,0.000104705105,0.54018754
9600,-1.173242,-1.1730686,1.3943554e-05,0.5453125
9700,-1.1836755,-1.1745571,3.646228e-05,0.54268754
9800,-1.1710339,-1.1740111,2.3595403e-05,0.54193753
9900,-1.1615814,-1.1712419,4.1703464e-05,0.54325
